Date,AMGN,BIIB,GILD,INCY,REGN,VRTX
2000-04-01 00:00:00-05:00,41.610897064208984,21.333332061767578,1.2950642108917236,38.5,28.5625,26.125
2000-05-01 00:00:00-04:00,47.27668762207031,21.270832061767578,1.307013988494873,26.375,20.375,36.9375
2000-06-01 00:00:00-04:00,52.19938659667969,39.10416793823242,1.6998653411865234,41.09375,29.8125,52.6875
2000-07-01 00:00:00-04:00,48.25193786621094,40.9375,1.77156400680542,37.90625,28.0625,48.96875
2000-08-01 00:00:00-04:00,56.332637786865234,46.54166793823242,2.5811665058135986,41.46875,35.4375,85.0
2000-09-01 00:00:00-04:00,51.885902404785156,58.453125,2.6214969158172607,41.125,32.625,84.5
2000-10-01 00:00:00-04:00,43.050567626953125,65.375,2.055373430252075,36.625,26.75,93.109375
2000-11-01 00:00:00-05:00,47.27668762207031,58.02083206176758,1.9463316202163696,26.5,24.375,55.875
2000-12-01 00:00:00-05:00,47.50888442993164,63.1875,1.9821808338165283,24.875,35.265625,71.5
2001-01-01 00:00:00-05:00,52.24583435058594,58.8125,1.617709755897522,27.875,32.75,67.3125
2001-02-01 00:00:00-05:00,53.54617691040039,56.375,1.7865018844604492,16.8125,31.375,49.75
2001-03-01 00:00:00-05:00,44.722434997558594,40.0,1.553479790687561,15.350000381469727,22.1875,36.625
2001-04-01 00:00:00-05:00,45.43020248413086,49.20000076293945,2.3412137031555176,16.1299991607666,31.010000228881836,38.560001373291016
2001-05-01 00:00:00-04:00,49.323787689208984,61.599998474121094,2.4736180305480957,21.219999313354492,31.90999984741211,43.939998626708984
2001-06-01 00:00:00-04:00,45.08838653564453,67.69000244140625,2.7814457416534424,24.520000457763672,34.650001525878906,49.5
2001-07-01 00:00:00-04:00,46.59679412841797,53.97999954223633,2.451630115509033,18.829999923706055,26.8700008392334,39.95000076293945
2001-08-01 00:00:00-04:00,47.77824020385742,59.27000045776367,2.901900291442871,17.68000030517578,30.1200008392334,36.88999938964844
2001-09-01 00:00:00-04:00,43.669151306152344,49.56999969482422,2.6848909854888916,13.65999984741211,22.239999771118164,18.040000915527344
2001-10-01 00:00:00-04:00,42.22020721435547,59.97999954223633,3.006580352783203,14.899999618530273,22.100000381469727,24.5
2001-11-01 00:00:00-05:00,49.360939025878906,70.30000305175781,3.4515929222106934,19.020000457763672,27.670000076293945,25.299999237060547
2001-12-01 00:00:00-05:00,41.93784713745117,68.93000030517578,3.1413750648498535,19.440000534057617,28.15999984741211,24.59000015258789
2002-01-01 00:00:00-05:00,41.23937225341797,59.459999084472656,3.127034902572632,14.75,24.799999237060547,19.739999771118164
2002-02-01 00:00:00-05:00,43.0821418762207,62.81999969482422,3.3679442405700684,10.989999771118164,22.709999084472656,21.809999465942383
2002-03-01 00:00:00-05:00,44.345340728759766,64.30000305175781,3.440599203109741,11.899999618530273,24.989999771118164,27.860000610351562
2002-04-01 00:00:00-05:00,39.29258346557617,54.95000076293945,2.975033760070801,8.210000038146973,20.649999618530273,21.270000457763672
2002-05-01 00:00:00-04:00,35.39154815673828,42.88999938964844,3.4090516567230225,7.340000152587891,16.520000457763672,19.729999542236328
2002-06-01 00:00:00-04:00,31.119020462036133,35.45000076293945,3.143287420272827,7.269999980926514,14.510000228881836,16.280000686645508
2002-07-01 00:00:00-04:00,33.91289138793945,44.59000015258789,2.9128942489624023,6.190000057220459,17.200000762939453,19.739999771118164
2002-08-01 00:00:00-04:00,33.459632873535156,40.18000030517578,3.0668084621429443,6.119999885559082,15.449999809265137,19.899999618530273
2002-09-01 00:00:00-04:00,30.985271453857422,41.52000045776367,3.20542573928833,4.639999866485596,13.5,18.489999771118164
2002-10-01 00:00:00-04:00,34.59648513793945,46.02000045776367,3.321101188659668,4.940000057220459,15.130000114440918,19.610000610351562
2002-11-01 00:00:00-05:00,35.07204055786133,32.810001373291016,3.7685039043426514,5.349999904632568,21.649999618530273,18.56999969482422
2002-12-01 00:00:00-05:00,35.919124603271484,33.16999816894531,3.2503578662872314,4.559999942779541,18.510000228881836,15.850000381469727
2003-01-01 00:00:00-05:00,37.86592102050781,32.08000183105469,3.3363969326019287,4.360000133514404,18.729999542236328,13.84000015258789
2003-02-01 00:00:00-05:00,40.60034942626953,28.75,3.2503578662872314,3.380000114440918,18.34000015258789,11.050000190734863
2003-03-01 00:00:00-05:00,42.76264572143555,34.220001220703125,4.0141921043396,2.990000009536743,7.519999980926514,11.140000343322754
2003-04-01 00:00:00-05:00,45.54907989501953,32.75,4.410926818847656,3.430000066757202,6.329999923706055,12.0600004196167
2003-05-01 00:00:00-04:00,48.10517120361328,38.220001220703125,4.995990753173828,5.019999980926514,13.739999771118164,14.5
2003-06-01 00:00:00-04:00,48.996829986572266,33.959999084472656,5.310511589050293,4.860000133514404,15.760000228881836,14.630000114440918
2003-07-01 00:00:00-04:00,51.590084075927734,33.7599983215332,6.522703170776367,5.25,15.399999618530273,14.529999732971191
2003-08-01 00:00:00-04:00,48.996829986572266,34.720001220703125,6.374525547027588,3.9600000381469727,15.210000038146973,12.600000381469727
2003-09-01 00:00:00-04:00,47.941707611083984,33.290000915527344,5.357353687286377,4.630000114440918,17.670000076293945,12.300000190734863
2003-10-01 00:00:00-04:00,45.89088821411133,35.13999938964844,5.2149128913879395,5.28000020980835,13.84000015258789,13.119999885559082
2003-11-01 00:00:00-05:00,42.81464767456055,38.18000030517578,5.609734535217285,6.050000190734863,12.880000114440918,8.739999771118164
2003-12-01 00:00:00-05:00,45.91316604614258,36.70000076293945,5.571495532989502,6.840000152587891,14.710000038146973,10.350000381469727
