Empresa,2020_vp,2021_vp,2022_vp
AMGN_V,56479100.0,58204550.0,61120988.88888889
BIIB_V,31865541.666666668,29929833.333333332,26337966.666666668
GILD_V,231764000.0,164642041.66666666,161041477.7777778
INCY_V,28332041.666666668,34197983.333333336,29591477.777777776
REGN_V,21981716.666666668,16187066.666666666,14363533.333333334
VRTX_V,39581575.0,39432166.666666664,32165566.666666668
