Date,MarketCap_AMGN,MarketCap_BIIB,MarketCap_GILD,MarketCap_INCY,MarketCap_REGN,MarketCap_VRTX
2000-01-01 00:00:00-05:00,11813598879.825592,3585983756.25,904993060.9535217,2258709875.0,48659000.0,271830000.0
2000-02-01 00:00:00-05:00,9982927939.782715,3703758612.2074127,1515890039.7789001,7361073506.25,848330550.0,595183662.5
2000-03-01 00:00:00-05:00,16132223614.524841,3458508075.0,839480887.9665375,3667723325.0,375355062.5,785640143.75
2000-04-01 00:00:00-05:00,8959064141.363525,2114195073.984146,557648432.9017639,1651650000.0,211650981.25,315177225.0
2000-05-01 00:00:00-04:00,6995869037.147522,1205284046.6983795,543232655.6213379,1054319525.0,52805887.5,829069575.0
2000-06-01 00:00:00-04:00,7410319963.243103,3984742085.8234406,686734815.020752,2340741093.75,103801162.5,2031619462.5
2000-07-01 00:00:00-04:00,7789390510.59761,2497048312.5,528005475.6252289,1389794750.0,103578687.5,1137945606.25
2000-08-01 00:00:00-04:00,7484622118.829346,2218431873.1098175,1102112567.6513672,1897460712.5,162959343.75,2298935500.0
2000-09-01 00:00:00-04:00,7800398573.255539,3100458965.625,1189832436.9659424,1056636962.5,85882050.0,2228332600.0
2000-10-01 00:00:00-04:00,8771487023.662567,5721633075.0,1381506277.896881,1116044325.0,116220725.0,2920626942.1875
2000-11-01 00:00:00-05:00,7560555749.292374,6612790886.326218,1232914838.7050629,430023450.0,130774312.5,1572037537.5
2000-12-01 00:00:00-05:00,6675984303.024292,7496419668.75,1188039904.5562744,435924425.0,238303934.375,1629420650.0
2001-01-01 00:00:00-05:00,13045430518.171692,7207718887.5,1474502649.2675781,802016712.5,168613375.0,1905044718.75
2001-02-01 00:00:00-05:00,8657225614.276886,2748873187.5,1186617656.4237595,434885575.0,53516337.5,899743675.0
2001-03-01 00:00:00-05:00,12023897404.737854,3515908000.0,867338903.2936096,320741327.97088623,173825750.0,904589887.5
2001-04-01 00:00:00-05:00,10980256410.42862,4111152063.7512207,1162908940.9217834,204567101.35650635,90983340.6715393,801832092.5567627
2001-05-01 00:00:00-04:00,8128140330.356598,4701157883.548737,1791049504.8339844,345726838.81282806,99616637.52365112,1311811083.000946
2001-06-01 00:00:00-04:00,7195548003.874207,5775554692.30957,1796351424.4941711,400313527.4734497,173045572.62039185,1041291900.0
2001-07-01 00:00:00-04:00,8419209208.325958,4416168538.549805,1284195360.2558136,210005340.14911652,77194825.41103363,782508654.9438477
2001-08-01 00:00:00-04:00,7037952876.1657715,4513635760.860443,1578541157.119751,187022579.22821045,94073798.62117767,559267146.7468262
2001-09-01 00:00:00-04:00,7681990223.492432,3361634142.3042297,1734345068.4631348,125590038.59710693,70903343.27030182,570118148.9334106
2001-10-01 00:00:00-04:00,8539743893.824768,4698239362.143326,3731921470.788574,254880883.4745407,316900745.470047,516420800.0
2001-11-01 00:00:00-05:00,9626371072.769165,4117471178.741455,2170461485.1356506,342768938.249588,185718273.51207733,386652298.3402252
2001-12-01 00:00:00-05:00,12216680508.90503,4269317428.9016724,1515279162.4969482,276014959.58271027,139865087.24212646,401193229.4895172
2002-01-01 00:00:00-05:00,10179578374.967957,5632711119.271088,3137556988.833618,236671125.0,240691432.59544373,299686754.52518463
2002-02-01 00:00:00-05:00,9051180488.214111,4932689196.0372925,2512248766.660309,189034590.0630951,393609704.1320801,402217829.1509628
2002-03-01 00:00:00-05:00,7907733144.615173,4013586900.489807,1841315364.396286,181663014.17655945,217697884.00611877,475645432.4203491
2002-04-01 00:00:00-05:00,8988397633.584595,6003205158.349991,1573343033.972931,106127386.49311066,217863690.97537994,604901797.0184326
2002-05-01 00:00:00-04:00,9955562168.995285,5233549239.523315,2381748440.080261,81184071.68769836,146162356.05010986,371654001.3771057
2002-06-01 00:00:00-04:00,11482416720.2528,4708111056.325912,1940280767.7257538,77858064.7957325,155109000.44670105,263690427.12173462
2002-07-01 00:00:00-04:00,17014807866.134644,6107849040.901184,2763569742.302513,66347515.61331749,166368727.37960815,400688437.3540878
2002-08-01 00:00:00-04:00,9616916394.647598,3710574812.182617,2522194997.7279663,57983938.91572952,109123348.65283966,370062382.9061508
2002-09-01 00:00:00-04:00,9168351960.956573,4368618192.164612,1933461519.126892,62643246.19746208,90937350.0,274587590.6009674
2002-10-01 00:00:00-04:00,14337300509.65805,5455822920.269394,2107913703.29113,41973204.48617935,110394532.83500671,308526100.60272217
2002-11-01 00:00:00-05:00,10503959107.379913,3300718948.1544495,1862119811.2054825,50113984.10668373,150653687.34550476,260845357.71331787
2002-12-01 00:00:00-05:00,10552192237.768555,2691015611.4501953,2163515569.601059,28314407.644701004,127050790.57102203,144716843.4829712
2003-01-01 00:00:00-05:00,10886593494.04335,2762768253.692627,1593439380.68676,22745248.696517944,208758955.89790344,197464970.17707825
2003-02-01 00:00:00-05:00,8254140359.1293335,1625855625.0,1698483105.685234,12486396.42276764,139758137.16278076,148014752.5548935
2003-03-01 00:00:00-05:00,10232842719.596863,2733627155.5145264,2901670002.3597717,48301656.154060364,343993375.12750626,161352878.9727211
2003-04-01 00:00:00-05:00,10319363550.038147,2994915450.0,2725190565.8935547,26471368.515205383,177755892.85755157,189477078.59268188
2003-05-01 00:00:00-04:00,10737156842.884445,3084174464.505005,2921763584.720993,65456281.751298904,479080816.0194397,201296250.0
2003-06-01 00:00:00-04:00,10366586734.840393,4692147797.504425,3895004646.537781,61903279.70061302,509780847.4035263,280953059.19771194
2003-07-01 00:00:00-04:00,9896647412.607193,3806905698.729706,4741807954.916382,48684825.0,118296637.06970215,215798103.03411484
